City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
343,porto seguro,-16.4497,-39.0647,27.29,69,40,7.72,BR,1697125108
344,alesund,62.4723,6.1549,8.52,77,75,8.75,NO,1697125108
345,eldorado,-23.7869,-54.2836,24.78,79,88,5.48,BR,1697125108
346,bydgoszcz,53.1235,18.0076,14.34,69,40,5.66,PL,1697124819
347,aqadyr,48.2553,72.8483,5.13,86,100,5.95,KZ,1697125108
348,port macquarie,-31.4333,152.9167,14.94,69,34,6.36,AU,1697125019
349,nova xavantina,-14.6667,-52.35,38.9,24,29,2.04,BR,1697125108
350,twin lakes,39.825,-105.0047,11.85,72,75,2.57,US,1697125109
351,plastun,44.7561,136.2939,11.72,68,0,2.68,RU,1697125109
352,rupert,42.6191,-113.6772,5.97,81,100,6.69,US,1697125109
353,yermentau,51.6214,73.1069,5.83,50,100,1.86,KZ,1697125109
354,ebon,4.582,168.6964,28.51,72,89,2.4,MH,1697125109
355,kachkanar,58.7,59.4948,0.87,91,100,6.93,RU,1697125109
356,gagliano del capo,39.8442,18.3695,25.36,73,20,2.57,IT,1697125109
357,nemuro,43.3236,145.575,12.97,76,1,3.16,JP,1697125110
358,payao,10.1833,122.95,25.32,91,94,0.82,PH,1697125110
359,szprotawa,51.5656,15.5366,16.46,87,100,4.38,PL,1697125110
360,kerikeri,-35.2268,173.9474,7.17,90,11,1.77,NZ,1697125110
361,songling,31.1933,120.7176,18.91,88,99,2.22,CN,1697125110
